motif_id	region_id	sample_id
HNF4G_MA0484.2	chr18:12991386-12991399	ANAB5F7_basal
HNF4G_MA0484.2	chr2:235542998-235543011	S6R691V_her2
HNF4G_MA0484.2	chr17:81044951-81044964	98JKPD8_lumA
HNF4G_MA0484.2	chr11:3160398-3160411	PU24GB8_lumB
HNF4G_MA0484.2	chr17:62782156-62782169	PU24GB8_lumB
HNF4G_MA0484.2	chr2:46955618-46955631	ANAB5F7_basal
HNF4G_MA0484.2	chr10:59626201-59626214	98JKPD8_lumA
HNF4G_MA0484.2	chr3:129162018-129162031	98JKPD8_lumA
HNF4G_MA0484.2	chr7:749274-749287	98JKPD8_lumA
HNF4G_MA0484.2	chr12:121841426-121841439	S6R691V_her2
HNF4G_MA0484.2	chr1:234773074-234773087	98JKPD8_lumA
HNF4G_MA0484.2	chrX:55796758-55796771	S6R691V_her2
HNF4G_MA0484.2	chr8:124886475-124886488	2GAMBDQ_norm
HNF4G_MA0484.2	chr3:8963687-8963700	98JKPD8_lumA
HNF4G_MA0484.2	chr1:210916895-210916908	98JKPD8_lumA
